SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000002502,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2017,7379,1000,1038,0.1151785714285714,3
110011000000002503,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2017,7392,948,904,0.1410869565217391,3
110011000000002504,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2017,13401,1907,1671,0.1685271317829457,2
110011000000002505,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2017,9424,1410,1059,0.1850574712643678,2
110011000000002508,CO,RAFAEL URIBE URIBE,5,2010;2015;2016;2017;2024,9984,1406,1359,0.1183606557377049,2
110011000000002511,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2016;2024,1706,303,125,0.1772,1
110011000000002527,CO,USME,5,2015;2021;2022;2023;2024,19820,2942,1464,0.1305128205128205,2
110011000000002533,CO,CIUDAD BOLIVAR,5,2015;2021;2022;2023;2024,14973,1901,2125,0.0949484536082474,2
110011000000002537,CO,RAFAEL URIBE URIBE,5,2010;2011;2015;2021;2024,33450,4806,4168,0.1370661157024793,2
110011000000002540,CO,USME,5,2010;2015;2021;2022;2024,22751,3784,1655,0.2112142857142857,2
110011000000002545,CO,USME,5,2015;2021;2022;2023;2024,12027,1820,1198,0.1652127659574468,2
110011000000005103,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,2722,219,503,0.0357894736842105,3
110011000000005104,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,1298,126,230,0.0307692307692307,3
110011000000005106,CO,TEUSAQUILLO,5,2012;2013;2014;2017;2020,9527,753,2293,0.0172413793103448,5
110011000000005108,CO,TEUSAQUILLO,5,2010;2012;2013;2014;2020,7542,624,1428,0.14,4
110011000000005201,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,4346,435,775,0.0658823529411764,3
110011000000005202,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,4371,469,598,0.0817948717948718,3
110011000000005203,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,5490,569,965,0.0637037037037037,3
110011000000005205,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,9879,960,1826,0.0566666666666666,3
110011000000005206,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,4813,565,648,0.0726666666666666,3
110011000000005305,CO,BARRIOS UNIDOS,5,2012;2013;2014;2018;2020,2303,154,492,0.0342857142857142,3
110011000000005307,CO,SUBA,5,2012;2013;2014;2018;2020,11182,862,2849,0.0282432432432432,4
110011000000005308,CO,SUBA,5,2012;2013;2014;2018;2020,6787,660,1047,0.0565384615384615,3
110011000000005401,CO,SUBA,5,2013;2014;2017;2018;2020,5802,409,1656,0.0167164179104477,4
110011000000005405,CO,ENGATIVA,5,2012;2013;2014;2017;2020,9487,1147,1270,0.0812765957446808,3
110011000000005507,CO,ENGATIVA,5,2013;2014;2015;2016;2017,5640,413,1248,0.036551724137931,4
110011000000005605,CO,ENGATIVA,5,2013;2014;2015;2016;2017,6891,661,1160,0.0517647058823529,3
110011000000005607,CO,ENGATIVA,5,2013;2015;2016;2017;2019,13656,1266,2180,0.0527173913043478,3
110011000000005608,CO,ENGATIVA,5,2013;2014;2016;2017;2019,11045,1112,1632,0.0557142857142857,3
110011000000005609,CO,ENGATIVA,5,2013;2014;2016;2017;2019,10546,1036,1621,0.0597959183673469,3
110011000000005612,CO,ENGATIVA,5,2013;2014;2017;2018;2019,11815,1055,2163,0.0343209876543209,3
110011000000005621,CO,ENGATIVA,5,2013;2014;2016;2017;2019,17938,2135,2342,0.0855952380952381,3
110011000000005623,CO,ENGATIVA,5,2017;2019;2021;2023;2024,9631,964,1577,0.0638983050847457,3
110011000000005631,CO,ENGATIVA,5,2019;2021;2022;2023;2024,47623,6583,3933,0.1131282051282051,2
110011000000005634,CO,ENGATIVA,5,2019;2021;2022;2023;2024,21540,2073,3381,0.0431730769230769,3
110011000000005638,CO,ENGATIVA,5,2019;2021;2022;2023;2024,21322,3217,1500,0.205,3
110011000000006303,CO,ENGATIVA,5,2010;2013;2015;2016;2017,41630,3334,7270,0.0428235294117647,4
110011000000006308,CO,FONTIBON,5,2013;2015;2016;2017;2019,19851,2371,2081,0.1269230769230769,4
110011000000006311,CO,ENGATIVA,5,2013;2015;2016;2017;2019,6216,558,1117,0.0282978723404255,4
110011000000006312,CO,FONTIBON,5,2013;2015;2016;2017;2019,18118,1391,3732,0.0299145299145299,4
110011000000007206,CO,TEUSAQUILLO,5,2010;2012;2013;2014;2020,5442,279,1100,0.0214285714285714,4
110011000000007301,CO,BARRIOS UNIDOS,5,2012;2013;2014;2017;2020,1547,147,280,0.0623809523809523,3
