localidad,pollutant,year,cluster,total_population,children_0_9,older_adults_60_plus,avg_IPM,sector_count
SUBA,PM10,2020,NS,1171496,132117,155292,0.07990247172537898,56
SUBA,PM10,2021,LL,155962,13781,32699,0.04116711106909753,16
SUBA,PM10,2021,NS,1146466,129958,149624,0.08214120199916572,53
SUBA,PM10,2022,LL,526358,48895,94095,0.0462618436496455,40
SUBA,PM10,2022,NS,776070,94844,88228,0.1090235771405353,29
SUBA,PM10,2023,LL,450059,40301,84813,0.038343625302616896,35
SUBA,PM10,2023,NS,852369,103438,97510,0.10794501757263979,34
SUBA,PM10,2024,LL,531790,49996,94812,0.045099133648208625,41
SUBA,PM10,2024,NS,770638,93743,87511,0.11296760726731393,28
SUBA,PM2.5,2010,LL,679299,67551,114724,0.06184570692664387,50
SUBA,PM2.5,2010,NS,623129,76188,67599,0.10104590193311318,19
SUBA,PM2.5,2011,LL,524511,49875,93940,0.04363926423351249,39
SUBA,PM2.5,2011,NS,777917,93864,88383,0.11034087259847855,30
SUBA,PM2.5,2012,LL,471459,42020,89428,0.04044196842569315,38
SUBA,PM2.5,2012,NS,830969,101719,92895,0.11210847364145175,31
SUBA,PM2.5,2013,HH,26198,2414,3860,0.211438154783743,4
SUBA,PM2.5,2013,LL,356273,33965,66602,0.044406190901525616,29
SUBA,PM2.5,2013,NS,919957,107360,111861,0.0799618146606147,36
SUBA,PM2.5,2014,LL,256672,21857,53770,0.03782751691085089,24
SUBA,PM2.5,2014,NS,1045756,121882,128553,0.09120660171557607,45
SUBA,PM2.5,2015,LL,145373,12661,30999,0.04140869668790816,12
SUBA,PM2.5,2015,NS,1157055,131078,151324,0.07921496706677976,57
SUBA,PM2.5,2016,LL,273421,25760,47957,0.04739709069360645,16
SUBA,PM2.5,2016,NS,1029007,117979,134366,0.08026045343327623,53
SUBA,PM2.5,2017,LL,231627,21630,38462,0.09395353060189858,20
SUBA,PM2.5,2017,NS,1070801,122109,143861,0.06394054838823209,49
SUBA,PM2.5,2018,LL,189175,17764,31226,0.08681343079592718,15
SUBA,PM2.5,2018,NS,1113253,125975,151097,0.06870288928004512,54
SUBA,PM2.5,2019,LL,189175,17764,31226,0.08681343079592718,15
SUBA,PM2.5,2019,NS,1113253,125975,151097,0.06870288928004512,54
SUBA,PM2.5,2020,LL,386808,37965,62705,0.07576313818439666,28
